Entity,Code,Year,renewables__pct_equivalent_primary_energy,Region
Iceland,ISL,2024,80.49809,EMEA
Norway,NOR,2024,71.81197,EMEA
Sweden,SWE,2024,51.31793,EMEA
Brazil,BRA,2024,49.61598,Americas
Austria,AUT,2024,43.347355,EMEA
New Zealand,NZL,2024,42.554394,APAC
Denmark,DNK,2024,41.722164,EMEA
Switzerland,CHE,2024,39.8679,EMEA
Portugal,PRT,2024,39.74076,EMEA
Finland,FIN,2024,38.894417,EMEA
Chile,CHL,2024,32.254448,Americas
Latvia,LVA,2024,29.669052,EMEA
Croatia,HRV,2024,27.778172,EMEA
Canada,CAN,2024,27.156591,Americas
Peru,PER,2024,26.65619,Americas
Colombia,COL,2024,26.092882,Americas
Spain,ESP,2024,25.862646,EMEA
Venezuela,VEN,2024,25.840307,Americas
Ecuador,ECU,2024,25.357561,Americas
Slovenia,SVN,2024,24.735876,EMEA
Germany,DEU,2024,23.968008,EMEA
Lithuania,LTU,2024,23.413942,EMEA
Sri Lanka,LKA,2024,23.249748,APAC
Ireland,IRL,2024,22.180317,EMEA
Vietnam,VNM,2024,21.53411,APAC
United Kingdom,GBR,2024,21.292688,EMEA
Greece,GRC,2024,21.05491,EMEA
Italy,ITA,2024,20.930578,EMEA
Turkey,TUR,2024,19.78555,EMEA
Romania,ROU,2024,19.111818,EMEA
Netherlands,NLD,2024,18.119257,EMEA
Estonia,EST,2024,17.946262,EMEA
China,CHN,2024,17.472376,APAC
France,FRA,2024,16.46539,EMEA
Bulgaria,BGR,2024,16.42459,EMEA
North Macedonia,MKD,2024,16.037403,EMEA
Argentina,ARG,2024,14.8029785,Americas
Australia,AUS,2024,14.733206,APAC
Luxembourg,LUX,2024,14.278366,EMEA
Poland,POL,2024,13.04527,EMEA
Philippines,PHL,2024,12.818433,APAC
Hungary,HUN,2024,12.705954,EMEA
Japan,JPN,2024,12.697048,APAC
Pakistan,PAK,2024,12.506971,APAC
United States,USA,2024,12.050454,Americas
Belgium,BEL,2024,11.45436,EMEA
Slovakia,SVK,2024,11.295315,EMEA
Indonesia,IDN,2024,10.95419,APAC
Cyprus,CYP,2024,10.795388,EMEA
Israel,ISR,2024,9.794843,EMEA
Czechia,CZE,2024,9.745923,EMEA
India,IND,2024,9.146443,APAC
Morocco,MAR,2024,8.673474,EMEA
Ukraine,UKR,2024,8.298777,EMEA
Malaysia,MYS,2024,8.281804,APAC
Mexico,MEX,2024,8.250967,Americas
Thailand,THA,2024,7.4027457,APAC
Taiwan,TWN,2024,6.2682457,APAC
Russia,RUS,2024,5.999395,EMEA
Egypt,EGY,2024,5.778012,EMEA
Kazakhstan,KAZ,2024,5.119867,APAC
South Korea,KOR,2024,4.748179,APAC
Uzbekistan,UZB,2024,4.581725,APAC
Azerbaijan,AZE,2024,4.303142,APAC
South Africa,ZAF,2024,3.5567286,EMEA
United Arab Emirates,ARE,2024,2.5193515,EMEA
Iran,IRN,2024,1.4326231,EMEA
Oman,OMN,2024,1.1151829,EMEA
Bangladesh,BGD,2024,1.0953214,APAC
Hong Kong,HKG,2024,1.0481005,APAC
Belarus,BLR,2024,0.96882594,EMEA
Qatar,QAT,2024,0.81071275,EMEA
Saudi Arabia,SAU,2024,0.7283918,EMEA
Iraq,IRQ,2024,0.58428055,EMEA
Singapore,SGP,2024,0.5452378,APAC
Algeria,DZA,2024,0.24168092,EMEA
Kuwait,KWT,2024,0.075629674,EMEA
Trinidad and Tobago,TTO,2024,0.010788339,Americas
Turkmenistan,TKM,2024,0.00666179,APAC
