date,ICT,Other,Month Year
2016-01-01,"116,137","75,221",January 2016
2017-01-01,"118,438","76,709",January 2017
2018-01-01,"123,014","79,506",January 2018
2019-01-01,"125,020","81,594",January 2019
2020-01-01,"128,194","83,314",January 2020
2021-01-01,"127,360","79,344",January 2021
2022-01-01,"130,312","82,423",January 2022
2023-01-01,"135,175","86,059",January 2023
2024-01-01,"135,570","89,870",January 2024
2025-01-01,"139,702","92,844",January 2025
2016-02-01,"117,879","75,296",February 2016
2017-02-01,"119,289","77,365",February 2017
2018-02-01,"123,948","79,718",February 2018
2019-02-01,"127,207","82,311",February 2019
2020-02-01,"128,295","84,310",February 2020
2021-02-01,"128,092","80,023",February 2021
2022-02-01,"129,511","82,567",February 2022
2023-02-01,"135,277","87,173",February 2023
2024-02-01,"136,778","90,720",February 2024
2025-02-01,"141,245","93,316",February 2025
2016-03-01,"118,274","75,697",March 2016
2017-03-01,"120,433","77,892",March 2017
2018-03-01,"124,314","80,460",March 2018
2019-03-01,"126,223","82,681",March 2019
2020-03-01,"130,667","86,315",March 2020
2021-03-01,"126,915","80,194",March 2021
2022-03-01,"129,221","82,484",March 2022
2023-03-01,"134,413","87,923",March 2023
2024-03-01,"134,952","91,174",March 2024
2025-03-01,"139,984","94,266",March 2025
2016-04-01,"118,988","76,027",April 2016
2017-04-01,"121,249","78,458",April 2017
2018-04-01,"124,401","80,617",April 2018
2019-04-01,"127,044","83,866",April 2019
2020-04-01,"134,206","92,040",April 2020
2021-04-01,"127,772","80,432",April 2021
2022-04-01,"130,229","83,308",April 2022
2023-04-01,"134,360","88,587",April 2023
2024-04-01,"136,565","91,609",April 2024
2025-04-01,"141,299","94,682",April 2025
2016-05-01,"118,937","75,922",May 2016
2017-05-01,"121,141","78,334",May 2017
2018-05-01,"124,174","81,042",May 2018
2019-05-01,"126,658","83,464",May 2019
2020-05-01,"130,756","85,567",May 2020
2021-05-01,"127,950","81,021",May 2021
2022-05-01,"132,055","83,221",May 2022
2023-05-01,"136,095","89,066",May 2023
2024-05-01,"137,544","92,354",May 2024
2025-05-01,"139,105","94,658",May 2025
2016-06-01,"118,570","76,174",June 2016
2017-06-01,"120,732","78,925",June 2017
2018-06-01,"124,382","81,342",June 2018
2019-06-01,"127,145","83,325",June 2019
2020-06-01,"127,319","82,042",June 2020
2021-06-01,"128,929","81,972",June 2021
2022-06-01,"131,851","84,316",June 2022
2023-06-01,"135,175","89,562",June 2023
2024-06-01,"138,198","92,947",June 2024
2025-06-01,"140,199","95,262",June 2025
2016-07-01,"117,221","76,234",July 2016
2017-07-01,"122,083","78,552",July 2017
2018-07-01,"125,121","81,142",July 2018
2019-07-01,"126,744","83,092",July 2019
2020-07-01,"127,864","81,450",July 2020
2021-07-01,"129,218","83,366",July 2021
2022-07-01,"132,507","84,179",July 2022
2023-07-01,"135,537","89,828",July 2023
2024-07-01,"138,619","92,836",July 2024
2025-07-01,"139,576","95,098",July 2025
2016-08-01,"117,784","75,410",August 2016
2017-08-01,"121,499","78,264",August 2017
2018-08-01,"125,183","80,602",August 2018
2019-08-01,"126,967","82,999",August 2019
2020-08-01,"127,367","81,667",August 2020
2021-08-01,"129,373","84,249",August 2021
2022-08-01,"133,192","84,137",August 2022
2023-08-01,"136,437","89,674",August 2023
2024-08-01,"137,259","92,644",August 2024
2016-09-01,"118,453","75,602",September 2016
2017-09-01,"122,446","78,507",September 2017
2018-09-01,"124,632","80,758",September 2018
2019-09-01,"127,779","83,240",September 2019
2020-09-01,"127,182","80,805",September 2020
2021-09-01,"131,010","83,189",September 2021
2022-09-01,"134,177","84,774",September 2022
2023-09-01,"135,333","89,864",September 2023
2024-09-01,"139,589","92,535",September 2024
2016-10-01,"117,446","75,953",October 2016
2017-10-01,"123,493","78,501",October 2017
2018-10-01,"124,782","81,052",October 2018
2019-10-01,"126,660","82,980",October 2019
2020-10-01,"127,726","80,022",October 2020
2021-10-01,"130,146","81,385",October 2021
2022-10-01,"134,591","85,174",October 2022
2023-10-01,"135,883","90,330",October 2023
2024-10-01,"139,913","92,577",October 2024
2015-11-01,,"75,825",November 2015
2016-11-01,"118,695","77,155",November 2016
2017-11-01,"122,870","79,918",November 2017
2018-11-01,"126,202","82,234",November 2018
2019-11-01,"128,590","84,069",November 2019
2020-11-01,"127,302","80,203",November 2020
2021-11-01,"130,863","81,970",November 2021
2022-11-01,"135,167","86,280",November 2022
2023-11-01,"136,621","90,952",November 2023
2024-11-01,"141,044","93,645",November 2024
2015-12-01,,"77,085",December 2015
2016-12-01,"120,297","78,577",December 2016
2017-12-01,"124,065","81,211",December 2017
2018-12-01,"126,251","83,918",December 2018
2019-12-01,"128,263","85,931",December 2019
2020-12-01,"127,458","81,144",December 2020
2021-12-01,"130,674","83,314",December 2021
2022-12-01,"134,969","87,666",December 2022
2023-12-01,"136,577","92,095",December 2023
2024-12-01,"141,781","95,117",December 2024
