,Label,Salary,Job Title
47,Sydney,156003,Software Engineer
48,Melbourne,131927,Software Engineer
49,Perth,131201,Software Engineer
57,Sydney,156123,Software Engineer
77,Brisbane,232668,Sales
78,Melbourne,182918,Sales
79,Sydney,166863,Sales
92,Perth,137041,Information Technologist
93,Sydney,113241,Information Technologist
94,Melbourne,108012,Information Technologist
131,Brisbane,157918,Security Analyst
132,Melbourne,142324,Security Analyst
133,Sydney,134350,Security Analyst
168,Brisbane,186199,Product Designer
169,Melbourne,147440,Product Designer
170,Sydney,126853,Product Designer
220,Sydney,137084,Data Analyst
221,Melbourne,127611,Data Analyst
222,Brisbane,93341,Data Analyst
316,Sydney,179852,Product Manager
317,Perth,171451,Product Manager
318,Melbourne,161774,Product Manager
354,Sydney,242039,Solution Architect
355,Brisbane,228153,Solution Architect
356,Melbourne,212722,Solution Architect
364,Sydney,239398,Solution Architect
384,Brisbane,146855,Business Analyst
385,Melbourne,128744,Business Analyst
386,Sydney,114538,Business Analyst
423,Sydney,118208,Management Consultant
424,Canberra,116975,Management Consultant
425,Melbourne,97333,Management Consultant
467,Melbourne,172940,Data Scientist
468,Sydney,160884,Data Scientist
469,Perth,124841,Data Scientist
574,Sydney,237368,Software Engineering Manager
575,Melbourne,215215,Software Engineering Manager
576,Brisbane,193700,Software Engineering Manager
